Part;Desc;Long Desc;Case;Manuf. Partnr.;Mouser;Comment
D1;Z-Diode;2.4V;SOD-123;MMSZ4681-E3-08;78-MMSZ4681-E3-08;
D2;Z-Diode;7.5V;SOD-123;MMSZ5236B-E3-08;78-MMSZ5236B-E3-08;
D3,D4,D5,D6;Diode;1N4148;SOD-123;1N4148W-7-F;621-1N4148W-F;
V1;DC-DC;Isol. DC-DC 12V;;CRE1S1212SC;580-CRE1S1212SC;
IC2,IC3;IC;LM2901;SOIC-14 D;LM2901DRG3;595-LM2901DRG3;
IC1;IC;CD4060B;SO-16;CD4060BNSR;595-CD4060BNSR;
Y2;8.192 MHz;8.192 MHz Resonator;;CSTNE8M19G550000R0;81-CSTNE8M19G550000R;Alt: Y1+C4,C5
Y1;4.096 MHz;4.096 MHz Resonator;;ABLS-4.096MHz-D-3-Y-T;815-ABLS4096MHZD3YT;
;;;;;;
T1,T3;NPN;NPN Transistor;SOT23;BC817K-40HR;771-BC817K-40HR;
T2;PNP;PNP Transistor;SOT23;BC857B,215;771-BC857B-T/R;
;;;;;;
R10;Trimm-R;;3mm;TC33X-1-473E;652-TC33X-1-473E;current selection
R1,R6,R7,R8;2K2 0603;;0603;;;
R22;3K3 0603;;0603;;;
R2,R5;4K7 0603;;0603;;;
R3;5K6 0603;;0603;;;
R16;1K 0603;;0603;;;
R4,R9,R13,R14,R15,R17,R21;10K 0603;;0603;;;
R19,R20;1M 0603;;0603;;;
R11,R12;51K 0603;;0603;;;current selection
R11,R12;56K 0603;;0603;;;current selection
R12;33K 0603;;0603;;;current selection
R18;220/680R;220/680R 1W 2512;2512;;;optional, PP-resistor
C1;10uF;10uF 3216 Tantalum;3216;;;
C2,C6,C7,C8,C9;100n;;0603;;;
C3;1uF;;0603;;;
C4,C5;22pF;;0603;;;only for Y1
C10;47uF;47uF Radial Cap.;5mm;860010372004;710-860010372004;
;;;;;;
LED;RGB LED;RGB LED;5mm;HV-5RGB60;743-HV-5RGB60;
;;;;;;
Relais 23A;23A Relais;;;G2RL-1A-E2-CV-HA DC12;653-G2RL1AE2CVHADC12;
Relais 36A;36A Relais;;;G6QE-1A DC12;653-G6QE-1ADC12;
;;;;;;
Type 2 Plug;;;;DUOSIDA;;20A or 32A version, single phase
